YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t,average_annual_growth_percent
2024,White,Sauvignon blanc,NORTHERN CAPE,High,5054,
2024,White,Sémillon,NORTHERN CAPE,High,5054,
2024,White,Viognier,NORTHERN CAPE,High,4399,
2024,White,Riesling,NORTHERN CAPE,High,2085,
2024,White,Other White,NORTHERN CAPE,High,2085,
2024,Red,Cabernet Franc,NORTHERN CAPE,High,6364,
2024,Red,Cabernet Sauvignon,NORTHERN CAPE,High,6364,
2024,Red,Carignan,NORTHERN CAPE,High,6364,
2024,Red,Cinsaut,NORTHERN CAPE,High,6364,
2024,Red,Gamay noir,NORTHERN CAPE,High,6364,
2024,Red,Merlot,NORTHERN CAPE,High,6364,
2024,Red,Petit Verdot,NORTHERN CAPE,High,6364,
2024,Red,Pinot noir,NORTHERN CAPE,High,20000,
2024,Red,Pinotage,NORTHERN CAPE,High,6364,
2024,Red,Roobernet,NORTHERN CAPE,High,5054,
2024,Red,Ruby Cabernet,NORTHERN CAPE,High,5054,
2024,Red,Shiraz,NORTHERN CAPE,High,20000,
2024,Red,Tinta Barocca,NORTHERN CAPE,High,5054,
2024,Red,Other Red,NORTHERN CAPE,High,6364,
2024,White,Bukettraube,KLEIN KAROO   ,Low ,5055,
2024,White,Crouchen,KLEIN KAROO   ,Low ,5055,
2024,White,Chardonnay,KLEIN KAROO   ,Low ,1685,
2024,White,Chenin Blanc,KLEIN KAROO   ,Low ,4399,
2024,White,Clairette blanche,KLEIN KAROO   ,Low ,5055,
2024,White,Colombar,KLEIN KAROO   ,Low ,3500,
2024,White,Palomino,KLEIN KAROO   ,Low ,5055,
2024,White,Gewurztraminer,KLEIN KAROO   ,Low ,5055,
2024,White,Muscat d'Alexandrie,KLEIN KAROO   ,Low ,5710,
2024,White,Muscat de Frontignan,KLEIN KAROO   ,Low ,5055,
2024,White,Pinot gris,KLEIN KAROO   ,Low ,5710,
2024,White,Sauvignon blanc,KLEIN KAROO   ,Low ,5710,
2024,White,Sémillon,KLEIN KAROO   ,Low ,7114,
2024,White,Viognier,KLEIN KAROO   ,Low ,4000,
2024,White,Riesling,KLEIN KAROO   ,Low ,4399,
2024,White,Other White,KLEIN KAROO   ,Low ,5055,
2024,Red,Cabernet Franc,KLEIN KAROO   ,Low ,4174,
2024,Red,Cabernet Sauvignon,KLEIN KAROO   ,Low ,5055,
2024,Red,Carignan,KLEIN KAROO   ,Low ,5710,
2024,Red,Cinsaut,KLEIN KAROO   ,Low ,3000,
2024,Red,Gamay noir,KLEIN KAROO   ,Low ,4174,
2024,Red,Merlot,KLEIN KAROO   ,Low ,5710,
2024,Red,Petit Verdot,KLEIN KAROO   ,Low ,7769,
2024,Red,Pinot noir,KLEIN KAROO   ,Low ,10388,
2024,Red,Pinotage,KLEIN KAROO   ,Low ,5710,
2024,Red,Roobernet,KLEIN KAROO   ,Low ,4174,
2024,Red,Ruby Cabernet,KLEIN KAROO   ,Low ,4400,
2024,Red,Shiraz,KLEIN KAROO   ,Low ,4000,
2024,Red,Tinta Barocca,KLEIN KAROO   ,Low ,4000,
2024,Red,Other Red,KLEIN KAROO   ,Low ,4174,
2024,White,Bukettraube,KLEIN KAROO   ,High,8000,
2024,White,Crouchen,KLEIN KAROO   ,High,8000,
2024,White,Chardonnay,KLEIN KAROO   ,High,7769,
2024,White,Chenin Blanc,KLEIN KAROO   ,High,4526,
2024,White,Clairette blanche,KLEIN KAROO   ,High,8000,
2024,White,Colombar,KLEIN KAROO   ,High,4399,
2024,White,Palomino,KLEIN KAROO   ,High,8000,
2024,White,Gewurztraminer,KLEIN KAROO   ,High,8000,
2024,White,Muscat d'Alexandrie,KLEIN KAROO   ,High,6364,
2024,White,Muscat de Frontignan,KLEIN KAROO   ,High,8000,
2024,White,Pinot gris,KLEIN KAROO   ,High,6364,
2024,White,Sauvignon blanc,KLEIN KAROO   ,High,6364,
2024,White,Sémillon,KLEIN KAROO   ,High,9078,
2024,White,Viognier,KLEIN KAROO   ,High,6364,
