Wine Class,Grape Variety,Region,Band,Yield_R_per_ha,
White,Pinot gris,PAARL         ,Low ,10379,
White,Sauvignon blanc,PAARL         ,Low ,8990,
White,Sémillon,PAARL         ,Low ,10379,
White,Viognier,PAARL         ,Low ,10379,
White,Riesling,PAARL         ,Low ,10379,
White,Other White,PAARL         ,Low ,10379,
Red,Cabernet Franc,PAARL         ,Low ,8517,
Red,Cabernet Sauvignon,PAARL         ,Low ,6715,
Red,Carignan,PAARL         ,Low ,8517,
Red,Cinsaut,PAARL         ,Low ,8398,
Red,Gamay noir,PAARL         ,Low ,8517,
Red,Merlot,PAARL         ,Low ,8233,
Red,Petit Verdot,PAARL         ,Low ,8517,
Red,Pinot noir,PAARL         ,Low ,8517,
Red,Pinotage,PAARL         ,Low ,9044,
Red,Roobernet,PAARL         ,Low ,8517,
Red,Ruby Cabernet,PAARL         ,Low ,8517,
Red,Shiraz,PAARL         ,Low ,7986,
Red,Tinta Barocca,PAARL         ,Low ,8517,
Red,Other Red,PAARL         ,Low ,8517,
White,Bukettraube,PAARL         ,High,19850,
White,Crouchen,PAARL         ,High,19850,
White,Chardonnay,PAARL         ,High,11660,
White,Chenin Blanc,PAARL         ,High,16050,
White,Clairette blanche,PAARL         ,High,19850,
White,Colombar,PAARL         ,High,22450,
White,Palomino,PAARL         ,High,19850,
White,Gewurztraminer,PAARL         ,High,19850,
White,Muscat d'Alexandrie,PAARL         ,High,19850,
White,Muscat de Frontignan,PAARL         ,High,19850,
White,Pinot gris,PAARL         ,High,19850,
White,Sauvignon blanc,PAARL         ,High,11730,
White,Sémillon,PAARL         ,High,19850,
White,Viognier,PAARL         ,High,19850,
White,Riesling,PAARL         ,High,19850,
White,Other White,PAARL         ,High,19850,
Red,Cabernet Franc,PAARL         ,High,13720,
Red,Cabernet Sauvignon,PAARL         ,High,9110,
Red,Carignan,PAARL         ,High,13720,
Red,Cinsaut,PAARL         ,High,12740,
Red,Gamay noir,PAARL         ,High,13720,
Red,Merlot,PAARL         ,High,10520,
Red,Petit Verdot,PAARL         ,High,13720,
Red,Pinot noir,PAARL         ,High,13720,
Red,Pinotage,PAARL         ,High,12570,
Red,Roobernet,PAARL         ,High,13720,
Red,Ruby Cabernet,PAARL         ,High,13720,
Red,Shiraz,PAARL         ,High,11330,3344
Red,Tinta Barocca,PAARL         ,High,13720,
Red,Other Red,PAARL         ,High,13720,
White,Bukettraube,STELLENBOSCH  ,Low ,7965,
White,Crouchen,STELLENBOSCH  ,Low ,7965,
White,Chardonnay,STELLENBOSCH  ,Low ,6809,
White,Chenin Blanc,STELLENBOSCH  ,Low ,7699,
White,Clairette blanche,STELLENBOSCH  ,Low ,7965,
White,Colombar,STELLENBOSCH  ,Low ,9603,
White,Palomino,STELLENBOSCH  ,Low ,7965,
White,Gewurztraminer,STELLENBOSCH  ,Low ,7965,
White,Muscat d'Alexandrie,STELLENBOSCH  ,Low ,7965,
White,Muscat de Frontignan,STELLENBOSCH  ,Low ,7965,
White,Pinot gris,STELLENBOSCH  ,Low ,7965,
White,Sauvignon blanc,STELLENBOSCH  ,Low ,7958,
White,Sémillon,STELLENBOSCH  ,Low ,7965,
White,Viognier,STELLENBOSCH  ,Low ,7965,
White,Riesling,STELLENBOSCH  ,Low ,7965,
White,Other White,STELLENBOSCH  ,Low ,7965,
Red,Cabernet Franc,STELLENBOSCH  ,Low ,6170,
Red,Cabernet Sauvignon,STELLENBOSCH  ,Low ,6405,
Red,Carignan,STELLENBOSCH  ,Low ,6170,
Red,Cinsaut,STELLENBOSCH  ,Low ,7681,
Red,Gamay noir,STELLENBOSCH  ,Low ,6170,
Red,Merlot,STELLENBOSCH  ,Low ,8274,
Red,Petit Verdot,STELLENBOSCH  ,Low ,6170,
