YEAR,Wine Class,Grape Variety,Region,Band,Income_R_per_t
2025,Red,Petit Verdot,OLIFANTSRIVER,High,9338
2025,Red,Pinot noir,OLIFANTSRIVER,High,6329
2025,Red,Pinotage,OLIFANTSRIVER,High,6329
2025,Red,Roobernet,OLIFANTSRIVER,High,7055
2025,Red,Ruby Cabernet,OLIFANTSRIVER,High,4876
2025,Red,Shiraz,OLIFANTSRIVER,High,7055
2025,Red,Tinta Barocca,OLIFANTSRIVER,High,11517
2025,Red,Other Red,OLIFANTSRIVER,High,7055
2025,White,Bukettraube,NORTHERN CAPE,Low ,4877
2025,White,Crouchen,NORTHERN CAPE,Low ,11518
2025,White,Chardonnay,NORTHERN CAPE,Low ,4877
2025,White,Chenin Blanc,NORTHERN CAPE,Low ,4151
2025,White,Clairette blanche,NORTHERN CAPE,Low ,6330
2025,White,Colombar,NORTHERN CAPE,Low ,4151
2025,White,Palomino,NORTHERN CAPE,Low ,4877
2025,White,Gewurztraminer,NORTHERN CAPE,Low ,6330
2025,White,Muscat d'Alexandrie,NORTHERN CAPE,Low ,4877
2025,White,Muscat de Frontignan,NORTHERN CAPE,Low ,4877
2025,White,Pinot gris,NORTHERN CAPE,Low ,6330
2025,White,Sauvignon blanc,NORTHERN CAPE,Low ,5604
2025,White,Sémillon,NORTHERN CAPE,Low ,5604
2025,White,Viognier,NORTHERN CAPE,Low ,4877
2025,White,Riesling,NORTHERN CAPE,Low ,8613
2025,White,Other White,NORTHERN CAPE,Low ,4877
2025,Red,Cabernet Franc,NORTHERN CAPE,Low ,8613
2025,Red,Cabernet Sauvignon,NORTHERN CAPE,Low ,6330
2025,Red,Carignan,NORTHERN CAPE,Low ,5604
2025,Red,Cinsaut,NORTHERN CAPE,Low ,5604
2025,Red,Gamay noir,NORTHERN CAPE,Low ,10065
2025,Red,Merlot,NORTHERN CAPE,Low ,5604
2025,Red,Petit Verdot,NORTHERN CAPE,Low ,7056
2025,Red,Pinot noir,NORTHERN CAPE,Low ,5604
2025,Red,Pinotage,NORTHERN CAPE,Low ,4877
2025,Red,Roobernet,NORTHERN CAPE,Low ,6330
2025,Red,Ruby Cabernet,NORTHERN CAPE,Low ,4151
2025,Red,Shiraz,NORTHERN CAPE,Low ,5604
2025,Red,Tinta Barocca,NORTHERN CAPE,Low ,4877
2025,Red,Other Red,NORTHERN CAPE,Low ,5604
2025,White,Bukettraube,NORTHERN CAPE,High,5603
2025,White,Crouchen,NORTHERN CAPE,High,14422
2025,White,Chardonnay,NORTHERN CAPE,High,6329
2025,White,Chenin Blanc,NORTHERN CAPE,High,5603
2025,White,Clairette blanche,NORTHERN CAPE,High,11517
2025,White,Colombar,NORTHERN CAPE,High,5603
2025,White,Palomino,NORTHERN CAPE,High,7055
2025,White,Gewurztraminer,NORTHERN CAPE,High,7055
2025,White,Muscat d'Alexandrie,NORTHERN CAPE,High,5603
2025,White,Muscat de Frontignan,NORTHERN CAPE,High,12969
2025,White,Pinot gris,NORTHERN CAPE,High,7055
2025,White,Sauvignon blanc,NORTHERN CAPE,High,7055
2025,White,Sémillon,NORTHERN CAPE,High,11517
2025,White,Viognier,NORTHERN CAPE,High,5603
2025,White,Riesling,NORTHERN CAPE,High,13696
2025,White,Other White,NORTHERN CAPE,High,5603
2025,Red,Cabernet Franc,NORTHERN CAPE,High,14422
2025,Red,Cabernet Sauvignon,NORTHERN CAPE,High,7055
2025,Red,Carignan,NORTHERN CAPE,High,6329
2025,Red,Cinsaut,NORTHERN CAPE,High,6329
2025,Red,Gamay noir,NORTHERN CAPE,High,10791
2025,Red,Merlot,NORTHERN CAPE,High,6329
2025,Red,Petit Verdot,NORTHERN CAPE,High,9338
2025,Red,Pinot noir,NORTHERN CAPE,High,6329
2025,Red,Pinotage,NORTHERN CAPE,High,6329
2025,Red,Roobernet,NORTHERN CAPE,High,7055
2025,Red,Ruby Cabernet,NORTHERN CAPE,High,4876
2025,Red,Shiraz,NORTHERN CAPE,High,7055
2025,Red,Tinta Barocca,NORTHERN CAPE,High,11517
2025,Red,Other Red,NORTHERN CAPE,High,7055
2025,White,Bukettraube,KLEIN KAROO   ,Low ,5055
2025,White,Crouchen,KLEIN KAROO   ,Low ,11518
2025,White,Chardonnay,KLEIN KAROO   ,Low ,8613
2025,White,Chenin Blanc,KLEIN KAROO   ,Low ,4151
2025,White,Clairette blanche,KLEIN KAROO   ,Low ,6330
2025,White,Colombar,KLEIN KAROO   ,Low ,4151
2025,White,Palomino,KLEIN KAROO   ,Low ,5055
2025,White,Gewurztraminer,KLEIN KAROO   ,Low ,6330
2025,White,Muscat d'Alexandrie,KLEIN KAROO   ,Low ,3425
2025,White,Muscat de Frontignan,KLEIN KAROO   ,Low ,4877
2025,White,Pinot gris,KLEIN KAROO   ,Low ,5710
2025,White,Sauvignon blanc,KLEIN KAROO   ,Low ,7886
2025,White,Sémillon,KLEIN KAROO   ,Low ,7886
2025,White,Viognier,KLEIN KAROO   ,Low ,8613
2025,White,Riesling,KLEIN KAROO   ,Low ,4877
2025,White,Other White,KLEIN KAROO   ,Low ,4877
2025,Red,Cabernet Franc,KLEIN KAROO   ,Low ,17328
2025,Red,Cabernet Sauvignon,KLEIN KAROO   ,Low ,5604
2025,Red,Carignan,KLEIN KAROO   ,Low ,5604
2025,Red,Cinsaut,KLEIN KAROO   ,Low ,7056
2025,Red,Gamay noir,KLEIN KAROO   ,Low ,10065
2025,Red,Merlot,KLEIN KAROO   ,Low ,9339
2025,Red,Petit Verdot,KLEIN KAROO   ,Low ,8613
2025,Red,Pinot noir,KLEIN KAROO   ,Low ,8613
2025,Red,Pinotage,KLEIN KAROO   ,Low ,6330
2025,Red,Roobernet,KLEIN KAROO   ,Low ,6330
2025,Red,Ruby Cabernet,KLEIN KAROO   ,Low ,4877
2025,Red,Shiraz,KLEIN KAROO   ,Low ,7886
2025,Red,Tinta Barocca,KLEIN KAROO   ,Low ,4877
2025,Red,Other Red,KLEIN KAROO   ,Low ,4877
2025,White,Bukettraube,KLEIN KAROO   ,High,7055
2025,White,Crouchen,KLEIN KAROO   ,High,14422
2025,White,Chardonnay,KLEIN KAROO   ,High,10064
2025,White,Chenin Blanc,KLEIN KAROO   ,High,5603
2025,White,Clairette blanche,KLEIN KAROO   ,High,7055
2025,White,Colombar,KLEIN KAROO   ,High,4876
2025,White,Palomino,KLEIN KAROO   ,High,8612
2025,White,Gewurztraminer,KLEIN KAROO   ,High,7055
2025,White,Muscat d'Alexandrie,KLEIN KAROO   ,High,7055
2025,White,Muscat de Frontignan,KLEIN KAROO   ,High,5603
2025,White,Pinot gris,KLEIN KAROO   ,High,7055
2025,White,Sauvignon blanc,KLEIN KAROO   ,High,12969
2025,White,Sémillon,KLEIN KAROO   ,High,11517
2025,White,Viognier,KLEIN KAROO   ,High,13696
2025,White,Riesling,KLEIN KAROO   ,High,9338
2025,White,Other White,KLEIN KAROO   ,High,7055
2025,Red,Cabernet Franc,KLEIN KAROO   ,High,19506
2025,Red,Cabernet Sauvignon,KLEIN KAROO   ,High,10064
2025,Red,Carignan,KLEIN KAROO   ,High,6329
2025,Red,Cinsaut,KLEIN KAROO   ,High,10064
2025,Red,Gamay noir,KLEIN KAROO   ,High,10791
2025,Red,Merlot,KLEIN KAROO   ,High,10064
2025,Red,Petit Verdot,KLEIN KAROO   ,High,9338
2025,Red,Pinot noir,KLEIN KAROO   ,High,14422
2025,Red,Pinotage,KLEIN KAROO   ,High,8612
2025,Red,Roobernet,KLEIN KAROO   ,High,7055
2025,Red,Ruby Cabernet,KLEIN KAROO   ,High,5603
2025,Red,Shiraz,KLEIN KAROO   ,High,12243
2025,Red,Tinta Barocca,KLEIN KAROO   ,High,5603
2025,Red,Other Red,KLEIN KAROO   ,High,8612
2025,White,Bukettraube,PAARL         ,Low ,5709
2025,White,Crouchen,PAARL         ,Low ,11518
2025,White,Chardonnay,PAARL         ,Low ,6330
2025,White,Chenin Blanc,PAARL         ,Low ,4151
2025,White,Clairette blanche,PAARL         ,Low ,10792
2025,White,Colombar,PAARL         ,Low ,4877
2025,White,Palomino,PAARL         ,Low ,19507
2025,White,Gewurztraminer,PAARL         ,Low ,6330
2025,White,Muscat d'Alexandrie,PAARL         ,Low ,4877
2025,White,Muscat de Frontignan,PAARL         ,Low ,5604
2025,White,Pinot gris,PAARL         ,Low ,5604
2025,White,Sauvignon blanc,PAARL         ,Low ,6330
2025,White,Sémillon,PAARL         ,Low ,9339
2025,White,Viognier,PAARL         ,Low ,4877
2025,White,Riesling,PAARL         ,Low ,19507
2025,White,Other White,PAARL         ,Low ,4877
2025,Red,Cabernet Franc,PAARL         ,Low ,5604
2025,Red,Cabernet Sauvignon,PAARL         ,Low ,6330
2025,Red,Carignan,PAARL         ,Low ,5604
2025,Red,Cinsaut,PAARL         ,Low ,5604
2025,Red,Gamay noir,PAARL         ,Low ,10065
2025,Red,Merlot,PAARL         ,Low ,5604
2025,Red,Petit Verdot,PAARL         ,Low ,6330
2025,Red,Pinot noir,PAARL         ,Low ,7056
2025,Red,Pinotage,PAARL         ,Low ,5604
2025,Red,Roobernet,PAARL         ,Low ,6330
2025,Red,Ruby Cabernet,PAARL         ,Low ,4151
2025,Red,Shiraz,PAARL         ,Low ,5604
